N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
5000,0.25,A,low_corr,-0.00148,0.03269,0.00083,0.01969,500,500,500
5000,0.25,B,low_corr,0.00055,0.03749,0.00171,0.02206,500,500,500
5000,0.5,A,low_corr,-0.00682,0.05418,0.00076,0.02319,500,500,500
5000,0.5,B,low_corr,-0.00255,0.06251,0.00145,0.0259,500,500,500
5000,0.75,A,low_corr,-0.03509,0.11564,-0.00056,0.02741,500,500,500
5000,0.75,B,low_corr,-0.0265,0.12921,-0.0001,0.03048,500,500,500
500,0.25,A,nonstationary,-0.01306,0.09368,0.00111,0.0625,500,500,500
500,0.25,B,nonstationary,-0.01996,0.10404,0.00283,0.07102,500,500,500
500,0.5,A,nonstationary,-0.03269,0.13962,-0.00079,0.07198,500,500,500
500,0.5,B,nonstationary,-0.04753,0.15431,0.00071,0.08212,500,500,500
500,0.75,A,nonstationary,-0.1119,0.23993,-0.00426,0.08548,500,500,500
500,0.75,B,nonstationary,-0.13979,0.25456,-0.00426,0.09844,500,500,500
5000,0.25,A,nonstationary,-0.00074,0.02882,0.00115,0.01941,500,500,500
5000,0.25,B,nonstationary,0.00161,0.03242,0.00244,0.02189,500,500,500
5000,0.5,A,nonstationary,-0.00389,0.04293,0.00017,0.02243,500,500,500
5000,0.5,B,nonstationary,-1e-05,0.04815,0.00113,0.02529,500,500,500
5000,0.75,A,nonstationary,-0.0147,0.07382,-0.00375,0.02669,500,500,500
5000,0.75,B,nonstationary,-0.00742,0.08059,-0.00309,0.03004,500,500,500
200,0.25,A,figure1,-0.05442,0.15924,0.01306,0.10067,500,500,500
200,0.25,B,figure1,-0.06341,0.17602,0.00643,0.11319,500,500,500
200,0.5,A,figure1,-0.13814,0.2496,0.01413,0.11729,500,500,500
200,0.5,B,figure1,-0.15531,0.26825,0.0065,0.13206,500,500,500
200,0.75,A,figure1,-0.41005,0.42143,0.01508,0.13901,500,500,500
200,0.75,B,figure1,-0.3974,0.42032,0.01773,0.1557,500,500,500
400,0.25,A,figure1,-0.01757,0.11157,0.00846,0.06958,500,500,500
400,0.25,B,figure1,-0.0262,0.12584,0.0084,0.07818,500,500,500
