N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
5000,0.25,A,low_corr,-0.0019,0.04404,0.00121,0.02566,500,500,500
5000,0.25,B,low_corr,-0.00198,0.05663,0.00278,0.0324,500,500,500
5000,0.5,A,low_corr,-0.00998,0.07327,0.00052,0.03013,500,500,500
5000,0.5,B,low_corr,-0.01235,0.09405,0.00219,0.03793,500,500,500
5000,0.75,A,low_corr,-0.04791,0.14579,-0.00163,0.03569,500,500,500
5000,0.75,B,low_corr,-0.06221,0.17798,0.00019,0.04481,500,500,500
500,0.25,A,nonstationary,-0.01917,0.12114,0.00278,0.08211,500,500,500
500,0.25,B,nonstationary,-0.04359,0.14857,0.00172,0.10436,500,500,500
500,0.5,A,nonstationary,-0.04805,0.1793,0.00182,0.09427,500,500,500
500,0.5,B,nonstationary,-0.09654,0.21565,-0.00144,0.12097,500,500,500
500,0.75,A,nonstationary,-0.15382,0.29202,-0.00164,0.11051,500,500,500
500,0.75,B,nonstationary,-0.24584,0.32504,-0.00758,0.14118,500,500,500
5000,0.25,A,nonstationary,-0.00137,0.03743,0.002,0.02552,500,500,500
5000,0.25,B,nonstationary,-0.00231,0.04617,0.00041,0.03206,500,500,500
5000,0.5,A,nonstationary,-0.00602,0.05552,0.0009,0.02949,500,500,500
5000,0.5,B,nonstationary,-0.00792,0.06793,-0.00143,0.03718,500,500,500
5000,0.75,A,nonstationary,-0.02037,0.09135,-0.00347,0.03496,500,500,500
5000,0.75,B,nonstationary,-0.0263,0.10777,-0.00597,0.04426,500,500,500
200,0.25,A,figure1,-0.08104,0.20567,0.01806,0.13089,500,500,500
200,0.25,B,figure1,-0.10937,0.25271,0.03266,0.16213,500,500,500
200,0.5,A,figure1,-0.20549,0.31185,0.01873,0.15016,500,500,500
200,0.5,B,figure1,-0.24809,0.35937,0.03785,0.1805,500,500,500
200,0.75,A,figure1,-0.48302,0.44923,0.03212,0.17027,500,500,500
200,0.75,B,figure1,-0.4901,0.47507,0.04994,0.18417,500,500,500
400,0.25,A,figure1,-0.03075,0.14556,0.00854,0.09057,500,500,500
400,0.25,B,figure1,-0.05663,0.18286,0.00523,0.11559,500,500,500
400,0.5,A,figure1,-0.09469,0.23002,0.00554,0.1055,500,500,500
400,0.5,B,figure1,-0.14592,0.27957,0.00303,0.13383,500,500,500
400,0.75,A,figure1,-0.32268,0.38054,0.00825,0.12527,500,500,500
400,0.75,B,figure1,-0.37586,0.42581,0.0082,0.15508,500,500,500
600,0.25,A,figure1,-0.01975,0.11779,0.00434,0.07393,500,500,500
600,0.25,B,figure1,-0.0347,0.14767,0.00189,0.09298,500,500,500
600,0.5,A,figure1,-0.06358,0.18511,0.00214,0.08705,500,500,500
600,0.5,B,figure1,-0.09787,0.22914,-0.00224,0.10892,500,500,500
600,0.75,A,figure1,-0.21947,0.31159,0.004,0.10391,500,500,500
600,0.75,B,figure1,-0.27944,0.35609,0.00014,0.12949,500,500,500
800,0.25,A,figure1,-0.00968,0.10249,0.00662,0.06342,500,500,500
800,0.25,B,figure1,-0.02145,0.1272,0.0031,0.08019,500,500,500
800,0.5,A,figure1,-0.03837,0.16373,0.00454,0.07455,500,500,500
800,0.5,B,figure1,-0.06866,0.19897,0.00024,0.09505,500,500,500
800,0.75,A,figure1,-0.16055,0.29111,0.00028,0.0907,500,500,500
800,0.75,B,figure1,-0.21414,0.3182,-0.00038,0.11484,500,500,500
1000,0.25,A,figure1,-0.01332,0.09146,0.00331,0.05681,500,500,500
1000,0.25,B,figure1,-0.0202,0.11434,0.00226,0.07121,500,500,500
